,Life Ladder,Log GDP per capita
712,4.895,10.097000000000001
713,4.725,10.106
714,4.918,10.127
715,4.683,10.117
716,4.914,10.14
717,5.181,10.183
718,5.343999999999999,10.222999999999999
719,5.449,10.248
720,6.065,10.293
721,5.936,10.344000000000001
722,6.0,10.392999999999999
723,6.037999999999999,10.335
724,6.888,10.860999999999999
725,7.591,10.777000000000001
726,7.501,10.809000000000001
727,7.497999999999999,10.854000000000001
728,7.51,10.904000000000002
729,7.476,10.925
730,7.5329999999999995,10.931
731,7.575,10.824000000000002
732,5.348,8.145
733,5.027,8.204
734,5.146,8.22
735,4.522,8.281
736,4.989,8.349
737,4.635,8.387
738,4.72,8.427999999999999
739,4.428,8.478
740,4.4239999999999995,8.538
741,4.342,8.604
742,4.178999999999999,8.673
743,4.046,8.73
744,3.818,8.779
745,3.2489999999999997,8.818
746,4.225,8.703
747,4.947,8.85
748,5.101,8.898
749,4.815,8.943
750,5.472,8.975
751,5.457000000000001,9.022
752,5.172999999999999,9.068999999999999
753,5.367999999999999,9.113999999999999
754,5.292000000000001,9.155
755,5.597,9.19
756,5.043,9.225
757,5.136,9.262
758,5.098,9.3
759,5.34,9.339
760,5.347,9.377
761,5.308,9.392999999999999
762,5.336,9.497
763,5.129,9.488999999999999
764,4.768,9.547
765,4.609,9.458
766,5.14,9.443
767,4.6819999999999995,9.476
768,4.75,9.449
769,4.6530000000000005,9.561
770,4.717,9.584
774,4.59,9.062999999999999
775,4.775,9.076
776,5.065,9.112
777,4.725,9.152000000000001
778,4.66,9.246
779,4.725,9.28
780,4.542,9.25
781,4.493,9.241
782,4.413,9.354
783,4.462,9.302999999999999
784,4.886,9.274
785,4.785,9.167
786,7.144,10.972000000000001
787,7.568,10.929
788,7.046,10.866
789,7.257000000000001,10.879000000000001
790,7.007000000000001,10.878
791,6.965,10.876
792,6.76,10.884
793,7.018,10.959000000000001
794,6.83,11.174000000000001
795,7.041,11.199000000000002
796,7.06,11.265999999999998
797,6.962000000000001,11.332
798,7.255,11.370999999999999
799,7.035,11.323
800,7.172999999999999,10.389000000000001
801,6.841,10.427999999999999
802,7.261,10.44
803,7.353,10.425
804,7.359,10.460999999999999
805,7.433,10.489
806,7.111000000000001,10.493
807,7.321000000000001,10.515
808,7.401,10.533
809,7.079,10.536
810,7.159,10.555
811,7.331,10.57
812,6.9270000000000005,10.585
813,7.332000000000001,10.600999999999999
